"scenario_id","replicate_id","n","J","J_block","K","parameter_block","n_parameter","median_rhat","q95_rhat","max_rhat","n_nonfinite","n_over_1.01","n_over_1.05","proportion_below_1.01","proportion_below_1.05"
15,100,2000,48,24,4,"Q1",96,1.00014539408461,1.00882869554454,1.05680374345728,0,4,1,0.958333333333333,0.989583333333333
15,100,2000,48,24,4,"Q2",96,1,1.00922004978156,1.01321030854294,0,5,0,0.947916666666667,1
16,1,500,72,36,4,"eta",24,1.00259363355182,1.00533173818209,1.00704101900199,0,0,0,1,1
16,1,500,72,36,4,"Delta1",180,1.00497642456681,1.02551147510535,1.05419355308577,0,45,2,0.75,0.988888888888889
16,1,500,72,36,4,"Delta2",180,1.00297425787765,1.01242094252428,1.02355290542192,0,22,0,0.877777777777778,1
16,1,500,72,36,4,"Q1",144,1.00009648995053,1.0072578427753,1.0226114908506,0,4,0,0.972222222222222,1
16,1,500,72,36,4,"Q2",144,1,1.00376339604761,1.0116677895351,0,3,0,0.979166666666667,1
16,50,500,72,36,4,"eta",24,1.0019662465072,1.00633240574235,1.00750737900267,0,0,0,1,1
16,50,500,72,36,4,"Delta1",180,1.0040178355283,1.02102267438053,1.03870911618311,0,45,0,0.75,1
16,50,500,72,36,4,"Delta2",180,1.00349824882419,1.01585676665874,1.01928066153137,0,17,0,0.905555555555556,1
16,50,500,72,36,4,"Q1",144,1.00024588222631,1.00580618561088,1.02212302829013,0,4,0,0.972222222222222,1
16,50,500,72,36,4,"Q2",144,1.0000017568279,1.00445507701235,1.01373849819788,0,2,0,0.986111111111111,1
16,100,500,72,36,4,"eta",24,1.00188188515676,1.00614688379071,1.00655041540792,0,0,0,1,1
16,100,500,72,36,4,"Delta1",180,1.00583048366174,1.0289459361147,1.05958630017213,0,60,1,0.666666666666667,0.994444444444444
16,100,500,72,36,4,"Delta2",180,1.00301933497621,1.01378707911718,1.02693523102908,0,24,0,0.866666666666667,1
